TermName,StudentID,Student_StateID,TestID,AccommodationCategory,Accommodation
"Fall 2024-2025","3132104728","","974839648","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3132104728","","974839648","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3132104728","","974839648","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3132104728","","974839648","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3132104728","","974839648","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3132104728","","975452228","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3132104728","","975452228","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3132104728","","975452228","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3132104728","","975452228","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3132104728","","975452228","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3652200450","","962234192","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3652200450","","962234192","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3652200450","","962234192","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3652200450","","962234192","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3652200450","","962234192","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3652200450","","962234192","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3652200450","","962234192","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3652200450","","962234192","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3752100219","","974839654","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3752100219","","974839654","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3752100219","","974839654","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3752100219","","974839654","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3752100219","","974839654","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3752100219","","975452307","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3752100219","","975452307","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3752100219","","975452307","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3752100219","","975452307","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3752100219","","975452307","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3812200939","","974839677","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3812200939","","974839677","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3812200939","","974839677","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3812200939","","974839677","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3812200939","","974839677","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3862100183","","973967108","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3862100183","","973967108","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3862100183","","973967108","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3862100183","","973967108","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3862100183","","973967108","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3912001424","","962234128","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3912001424","","962234128","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912001424","","962234128","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912001424","","962234128","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3912001424","","962234128","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3912001424","","962234128","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912001424","","962234128","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912001424","","962234128","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3912100160","","974839706","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3912100160","","974839706","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912100160","","974839706","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912100160","","974839706","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912100160","","974839706","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3912100251","","974839650","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3912100251","","974839650","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3912100251","","974839650","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3912100251","","974839650","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3912100251","","974839650","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3912100251","","975452326","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","3912100251","","975452326","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912100251","","975452326","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912100251","","975452326","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","3912100251","","975452326","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","3912100475","","974839702","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3912100475","","974839702","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3912100475","","974839702","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3912100475","","974839702","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3912100475","","974839702","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","3912100475","","981267189","Designated Features","Human reader: Test directions"
"Fall 2024-2025","3912100475","","981267189","Designated Features","Human reader: Question directions"
"Fall 2024-2025","3912100475","","981267189","Designated Features","Human reader: Questions/prompts"
"Fall 2024-2025","3912100475","","981267189","Designated Features","Human reader: Assets such as tables, graphs and reading passages"
"Fall 2024-2025","3912100475","","981267189","Designated Features","Human reader: Answer choices"
"Fall 2024-2025","4162100623","","974839621","Accommodations","Text-to-speech: Question directions"
"Fall 2024-2025","4162100623","","974839621","Accommodations","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","4162100623","","974839621","Accommodations","Text-to-speech: Questions/prompts"
"Fall 2024-2025","4162100623","","974839621","Accommodations","Text-to-speech: Answer choices"
"Fall 2024-2025","4162100623","","974839621","Designated Features","Text-to-speech: Question directions"
"Fall 2024-2025","4162100623","","974839621","Designated Features","Text-to-speech: Assets such as reading passages"
"Fall 2024-2025","4162100623","","974839621","Designated Features","Text-to-speech: Questions/prompts"
"Fall 2024-2025","4162100623","","974839621","Designated Features","Text-to-speech: Answer choices"
"Fall 2024-2025","5441900812","","963422263","Designated Features","Human reader: Test directions"
"Fall 2024-2025","5441900812","","963422263","Designated Features","Human reader: Question directions"
"Fall 2024-2025","5441900812","","963422263","Designated Features","Human reader: Questions/prompts"
