TermName,DistrictName,District_StateID,SchoolName,School_StateID,StudentID,Student_StateID,Subject,Course,GrowthMeasureYN,NormsReferenceData,WISelectedAYFall,WISelectedAYWinter,WISelectedAYSpring,WIPreviousAYFall,WIPreviousAYWinter,WIPreviousAYSpring,TestType,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,FallToFallProjectedGrowth,FallToFallObservedGrowth,FallToFallObservedGrowthSE,FallToFallMetProjectedGrowth,FallToFallConditionalGrowthIndex,FallToFallConditionalGrowthPercentile,FallToFallGrowthQuintile,FallToWinterProjectedGrowth,FallToWinterObservedGrowth,FallToWinterObservedGrowthSE,FallToWinterMetProjectedGrowth,FallToWinterConditionalGrowthIndex,FallToWinterConditionalGrowthPercentile,FallToWinterGrowthQuintile,FallToSpringProjectedGrowth,FallToSpringObservedGrowth,FallToSpringObservedGrowthSE,FallToSpringMetProjectedGrowth,FallToSpringConditionalGrowthIndex,FallToSpringConditionalGrowthPercentile,FallToSpringGrowthQuintile,WinterToWinterProjectedGrowth,WinterToWinterObservedGrowth,WinterToWinterObservedGrowthSE,WinterToWinterMetProjectedGrowth,WinterToWinterConditionalGrowthIndex,WinterToWinterConditionalGrowthPercentile,WinterToWinterGrowthQuintile,WinterToSpringProjectedGrowth,WinterToSpringObservedGrowth,WinterToSpringObservedGrowthSE,WinterToSpringMetProjectedGrowth,WinterToSpringConditionalGrowthIndex,WinterToSpringConditionalGrowthPercentile,WinterToSpringGrowthQuintile,SpringToSpringProjectedGrowth,SpringToSpringObservedGrowth,SpringToSpringObservedGrowthSE,SpringToSpringMetProjectedGrowth,SpringToSpringConditionalGrowthIndex,SpringToSpringConditionalGrowthPercentile,SpringToSpringGrowthQuintile,LexileScore,LexileMin,LexileMax,QuantileScore,QuantileMin,QuantileMax,Goal1Name,Goal1RitScore,Goal1StdErr,Goal1Range,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2StdErr,Goal2Range,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3StdErr,Goal3Range,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4StdErr,Goal4Range,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5StdErr,Goal5Range,Goal5Adjective,Goal6Name,Goal6RitScore,Goal6StdErr,Goal6Range,Goal6Adjective,Goal7Name,Goal7RitScore,Goal7StdErr,Goal7Range,Goal7Adjective,Goal8Name,Goal8RitScore,Goal8StdErr,Goal8Range,Goal8Adjective,TypicalFallToFallGrowth,TypicalFallToWinterGrowth,TypicalFallToSpringGrowth,TypicalWinterToWinterGrowth,TypicalWinterToSpringGrowth,TypicalSpringToSpringGrowth,ProjectedProficiencyStudy1,ProjectedProficiencyLevel1,ProjectedProficiencyStudy2,ProjectedProficiencyLevel2,ProjectedProficiencyStudy3,ProjectedProficiencyLevel3,ProjectedProficiencyStudy4,ProjectedProficiencyLevel4,ProjectedProficiencyStudy5,ProjectedProficiencyLevel5,ProjectedProficiencyStudy6,ProjectedProficiencyLevel6,ProjectedProficiencyStudy7,ProjectedProficiencyLevel7,ProjectedProficiencyStudy8,ProjectedProficiencyLevel8,ProjectedProficiencyStudy9,ProjectedProficiencyLevel9,ProjectedProficiencyStudy10,ProjectedProficiencyLevel10
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1361300804","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","981267173","09/25/2024","08:55:14","103","229","3.28","62","HiAvg","48","0.0000","2","-2","4.67","No*","-0.46","32","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250L","1150L","1300L","","","","Literary Text","221","6.1","215-227","Avg","Informational Text","233","5.7","227-239","HiAvg","Vocabulary","232","5.9","226-238","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1371500702","","Mathematics","Math K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Math 6+ CCSS 2010 V2","966630279","09/05/2024","08:50:50","86","231","3.27","73","HiAvg","53","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005Q","955Q","1055Q","Operations and Algebraic Thinking","229","6.7","222-236","HiAvg","The Real and Complex Number Systems","233","6.4","227-239","HiAvg","Geometry","230","6.6","223-237","HiAvg","Statistics and Probability","231","6.4","225-237","HiAvg","","","","","","","","","","","","","","","","","","","","","6","4","7","","","","ACT College Readiness","On Track 22","HI-Smarter Balanced Assessment Consortia","Level 3","SAT","On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1371500702","","Language Arts","Reading","TRUE","2020","4","","","","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","966630266","09/03/2024","08:23:11","205","225","3.35","74","HiAvg","55","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170L","1070L","1220L","","","","Literary Text","224","5.8","218-230","HiAvg","Informational Text","224","5.9","218-230","HiAvg","Vocabulary","227","5.8","221-233","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","3","","","","ACT College Readiness","On Track 24","HI-Smarter Balanced Assessment Consortia","Level 3","SAT","On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1371500702","","Science","Science K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Science 6-8: for use with NGSS 2013","974839624","09/05/2024","10:58:41","59","214","3.35","72","HiAvg","50","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","212","5.9","206-218","HiAvg","Physical Science","215","5.7","209-221","HiAvg","Earth and Space Science","215","5.8","209-221","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","3","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372000614","","Mathematics","Math K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Math 6+ CCSS 2010 V2","961192180","08/29/2024","13:31:20","39","210","3.20","38","LoAvg","47","4.6512","6","-4","4.62","No","-1.49","7","Low","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","645Q","595Q","695Q","Operations and Algebraic Thinking","210","6.5","204-216","LoAvg","The Real and Complex Number Systems","203","6.4","197-209","LoAvg","Geometry","214","6.5","207-221","Avg","Statistics and Probability","213","6.3","207-219","Avg","","","","","","","","","","","","","","","","","","","","","7","5","8","","","","ACT College Readiness","Not On Track","HI-Smarter Balanced Assessment Consortia","Level 2","SAT","Not On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372000614","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 6+ CCSS 2010 V4","962234202","08/28/2024","13:09:17","58","225","3.33","82","High","45","0.0000","5","4","4.65","No*","-0.15","44","Avg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170L","1070L","1220L","","","","Literary Text","223","6.0","217-229","HiAvg","Informational Text","220","5.9","214-226","HiAvg","Vocabulary","231","5.9","225-237","High","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","3","","","","ACT College Readiness","On Track 24","HI-Smarter Balanced Assessment Consortia","Level 3","SAT","On Track","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372000614","","Science","Science K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Science 6-8: for use with NGSS 2013","961192282","08/29/2024","12:58:31","30","218","3.28","88","High","55","0.0000","3","-4","4.66","No","-1.11","13","Low","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","222","5.8","216-228","High","Physical Science","217","5.7","211-223","High","Earth and Space Science","214","5.8","208-220","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","3","","","","","","","","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372200406","","Mathematics","Math K-12","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Math 2-5 CCSS 2010 V2","962234199","08/28/2024","13:10:35","62","194","3.49","66","HiAvg","42","0.0000","13","17","4.79","Yes*","0.55","71","HiAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365Q","315Q","415Q","Operations and Algebraic Thinking","178","8.0","170-186","LoAvg","Number and Operations","211","7.9","203-219","High","Measurement and Data","203","7.7","195-211","High","Geometry","187","7.2","180-194","Avg","","","","","","","","","","","","","","","","","","","","","11","7","12","","","","","","HI-Smarter Balanced Assessment Consortia","Level 3","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372200406","","Language Arts","Reading","TRUE","2020","4","","","4","","","Survey With Goals","Growth: Reading 2-5 CCSS 2010 V4","961192237","08/29/2024","13:43:53","34","184","3.31","44","Avg","45","0.0000","14","12","4.64","No*","-0.29","38","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380L","280L","430L","","","","Literary Text","187","5.9","181-193","Avg","Informational Text","184","5.7","178-190","Avg","Vocabulary","180","5.8","174-186","LoAvg","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","11","","","","","","HI-Smarter Balanced Assessment Consortia","Level 2","","","","","","","","","","","","","","","",""
"Fall 2024-2025","Hawaii Academy Of Arts and Sciences Pcs","","Hawaii Academy of Arts and Science","","1372200406","","Science","Science K-12","TRUE","2020","4","","","","","","Survey With Goals","Growth: Science 3-5: for use with NGSS 2013","961192188","08/29/2024","12:58:25","38","192","3.39","63","HiAvg","53","0.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Life Science","190","6.0","184-196","Avg","Physical Science","187","6.1","181-193","Avg","Earth and Space Science","200","6.2","194-206","High","","","","","","","","","","","","","","","","","","","","","","","","","","7","5","7","","","","","","","","","","","","","","","","","","","","","","",""
