TermName,StudentID,Student_StateID,TestID,AccommodationCategory,Accommodation
"Spring 2024-2025","3132104728","","998263907","Accommodations","Text-to-speech: Question directions"
"Spring 2024-2025","3132104728","","1006248176","Accommodations","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3132104728","","1006248176","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3132104728","","1006248176","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3132104728","","1006248176","Accommodations","Text-to-speech: Answer choices"
"Spring 2024-2025","3132104728","","1006248176","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3132104728","","1006248176","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3132104728","","1006248176","Accommodations","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3132104728","","1006248176","Accommodations","Text-to-speech: Question directions"
"Spring 2024-2025","3132104728","","998263907","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3132104728","","998263907","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3132104728","","998263907","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3132104728","","998263907","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3132104728","","998263907","Accommodations","Text-to-speech: Answer choices"
"Spring 2024-2025","3132104728","","998263907","Accommodations","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3132104728","","998263907","Accommodations","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3531701194","","1004096038","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3531701194","","1004096038","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3531701194","","1004096038","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3531701194","","1004096155","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3531701194","","1004096155","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3531701194","","1004096155","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3531701194","","1004096155","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3531701194","","1004096038","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3532100794","","1004096083","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3532100794","","1004096083","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3532100794","","1004096083","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3532100794","","1004096083","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3571800901","","1004096137","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3571800901","","1004096005","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3571800901","","1004096005","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3571800901","","1004096005","Designated Features","Text-to-speech: Question directions"
"Spring 2024-2025","3571800901","","1004096137","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3571800901","","1004096137","Designated Features","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3571800901","","1004096137","Designated Features","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3571800901","","1004096005","Designated Features","Text-to-speech: Answer choices"
"Spring 2024-2025","3722000122","","1006248166","Accommodations","Text-to-speech: Assets such as reading passages"
"Spring 2024-2025","3722000122","","1006248166","Accommodations","Text-to-speech: Questions/prompts"
"Spring 2024-2025","3722000122","","1006248166","Accommodations","Text-to-speech: Answer choices"
"Spring 2024-2025","3722000122","","1006248166","Designated Features","Text-to-speech: Question directions"
